Sales Register
ID,Posting Date,Debit To,Parent Account,Territory,Customer Details,Sales - GPB,Net Total,Arifin Trucking - GPB,Freight Cost of Sales - GPB,Miscellaneous Expenses - GPB,PPh 22  ( Non NPWP ) - GPB,PPh 22 ( NPWP ) - GPB,PPN - GPB,Prima Johan - GPB,Sales Discount - GPB,SPSI Factory - GPB,Total Tax,Grand Total
INV03890,2013-01-16,Rizky Marendal 1,Accounts Receivable - GPB,Medan,,17511312.9,17511312.9,0,0,0,87556.56,0,1751131.29,1150000.0,0,0,2988687.85,20500000.75
INV03891,2013-01-16,Sabar Jaya Marendal 1,Accounts Receivable - GPB,Medan,,17285068.72,17285068.72,0,0,0,86425.34,0,1728506.87,1150000.0,0,0,2964932.21,20250000.93
INV03892,2013-01-16,Indomas Kisaran 1,Accounts Receivable - GPB,Serkibata,,17511312.62,17511312.62,0,0,0,87556.56,0,1751131.26,900000.0,0,0,2738687.82,20250000.44
INV03893,2013-01-16,Simalungun Traso Siantar 1,Accounts Receivable - GPB,Sibatopasa,,17511312.62,17511312.62,0,0,0,87556.56,0,1751131.26,900000.0,0,0,2738687.82,20250000.44
INV03894,2013-01-16,Sumber Pembangunan Aeknabara 1,Accounts Receivable - GPB,Rapakoba,,17324263.4,17324263.4,2400000.0,0,0,0,43310.66,1732426.34,0,0,0,4175737.0,21500000.4
INV03895,2013-01-16,Laris Jaya Kota Pinang 1,Accounts Receivable - GPB,Rapakoba,,17194570.73,17194570.73,2500000.0,0,0,85972.85,0,1719457.07,0,0,0,4305429.92,21500000.65
INV03896,2013-01-16,Raja Pas Bangunan Rantau Prapat 1,Accounts Receivable - GPB,Rapakoba,,17307693.53,17307693.53,2250000.0,0,0,86538.47,0,1730769.35,0,0,0,4067307.82,21375001.35
INV03897,2013-01-16,Tetap Jaya Kisaran 1,Accounts Receivable - GPB,Serkibata,,17511312.62,17511312.62,0,0,0,87556.56,0,1751131.26,900000.0,0,0,2738687.82,20250000.44
INV03898,2013-01-16,Usaha Baru Batangkuis 1,Accounts Receivable - GPB,Tatemlukam,,17171946.78,17171946.78,0,0,0,85859.73,0,1717194.68,1150000.0,0,0,2953054.41,20125001.19
INV03899,2013-01-16,Naga Mas (Bintang Mas) Kisaran 1,Accounts Receivable - GPB,Serkibata,,17398190.67,17398190.67,0,0,0,86990.95,0,1739819.07,900000.0,0,0,2726810.02,20125000.69
INV03900,2013-01-16,Naga Mas (Bintang Mas) Kisaran 1,Accounts Receivable - GPB,Serkibata,,17398190.67,17398190.67,0,0,0,86990.95,0,1739819.07,900000.0,0,0,2726810.02,20125000.69
INV03901,2013-01-16,Kencana Agung Johor 1,Accounts Receivable - GPB,Medan,,16832579.73,16832579.73,0,0,0,84162.9,0,1683257.97,1150000.0,0,0,2917420.87,19750000.6
INV03902,2013-01-16,Naga Mas (Bintang Mas) Kisaran 1,Accounts Receivable - GPB,Serkibata,,17398190.67,17398190.67,0,0,0,86990.95,0,1739819.07,900000.0,0,0,2726810.02,20125000.69
INV03903,2013-01-16,Berkat Grand Angrek 1,Accounts Receivable - GPB,Medan,,17624434.6,17624434.6,0,0,0,88122.17,0,1762443.46,1150000.0,0,0,3000565.63,20625000.23
INV03904,2013-01-16,Karunia Jaya Bahagia 1,Accounts Receivable - GPB,Medan,,17285068.72,17285068.72,0,0,0,86425.34,0,1728506.87,1150000.0,0,0,2964932.21,20250000.93
INV03905,2013-01-16,Darmawan Sejahtera - GPB,Accounts Receivable - GPB,Tatemlukam,,17511312.9,17511312.9,0,0,0,87556.56,0,1751131.29,1150000.0,0,0,2988687.85,20500000.75
INV03906-1,2013-01-16,Utama Bangunan Batubara 1,Accounts Receivable - GPB,Serkibata,,17330317.83,17330317.83,0,0,0,86651.59,0,1733031.78,500000.0,0,0,2319683.37,19650001.2
INV03907,2013-01-17,Desa Maju Polonia 1,Accounts Receivable - GPB,Medan,,17149321.54,17149321.54,0,0,0,85746.61,0,1714932.15,1300000.0,0,0,3100678.76,20250000.3
INV03908,2013-01-17,Dunia Co Kisaran 1,Accounts Receivable - GPB,Serkibata,,17511312.62,17511312.62,0,0,0,87556.56,0,1751131.26,900000.0,0,0,2738687.82,20250000.44
INV03909,2013-01-17,Putra Jaya Tebing 1,Accounts Receivable - GPB,Serkibata,,17895928.24,17895928.24,0,0,0,89479.64,0,1789592.82,600000.0,0,0,2479072.46,20375000.7
INV03910,2013-01-17,Sinar Terang Aek Kanopan 1,Accounts Receivable - GPB,Rapakoba,,17194570.73,17194570.73,2000000.0,0,0,85972.85,0,1719457.07,0,0,0,3805429.92,21000000.65
INV03911,2013-01-17,Usaha Adek Sigambal 1,Accounts Receivable - GPB,Rapakoba,,17307704.87,17307704.87,2250000.0,0,0,86538.52,0,1730770.49,0,0,0,4067309.01,21375013.88
INV03912,2013-01-17,Saudara Jaya Kisaran 1,Accounts Receivable - GPB,Serkibata,,17511312.62,17511312.62,0,0,0,87556.56,0,1751131.26,900000.0,0,0,2738687.82,20250000.44
INV03913,2013-01-17,Indomas Kisaran 1,Accounts Receivable - GPB,Serkibata,,17511312.62,17511312.62,0,0,0,87556.56,0,1751131.26,900000.0,0,0,2738687.82,20250000.44
INV03914,2013-01-17,Maju Jaya Tebing 1,Accounts Receivable - GPB,Serkibata,,17375566.63,17375566.63,0,0,0,86877.83,0,1737556.66,1300000.0,0,0,3124434.49,20500001.12
INV03915,2013-01-17,Anugerah Jaya Tanjung Tiram 1,Accounts Receivable - GPB,Serkibata,,17760181.76,17760181.76,0,0,0,88800.91,0,1776018.18,750000.0,0,0,2614819.09,20375000.85
INV03916,2013-01-17,Dunia Co Kisaran 1,Accounts Receivable - GPB,Serkibata,,17511312.62,17511312.62,0,0,0,87556.56,0,1751131.26,900000.0,0,0,2738687.82,20250000.44
INV03917,2013-01-17,Indomas Kisaran 1,Accounts Receivable - GPB,Serkibata,,17511312.62,17511312.62,0,0,0,87556.56,0,1751131.26,900000.0,0,0,2738687.82,20250000.44
INV03918,2013-01-17,Mandiri Jaya Marendal 1,Accounts Receivable - GPB,Medan,,17149322.74,17149322.74,0,0,0,85746.61,0,1714932.27,1300000.0,0,0,3100678.88,20250001.62
INV03919,2013-01-17,Martimbul Kisaran 1,Accounts Receivable - GPB,Serkibata,,17285068.6,17285068.6,0,0,0,86425.34,0,1728506.86,900000.0,0,0,2714932.2,20000000.8
INV03920,2013-01-17,Permata Indah Patumbak 1,Accounts Receivable - GPB,Medan,,17149322.74,17149322.74,0,0,0,85746.61,0,1714932.27,1300000.0,0,0,3100678.88,20250001.62
INV03921,2013-01-17,Kencana Agung Johor 1,Accounts Receivable - GPB,Medan,,16696833.76,16696833.76,0,0,0,83484.17,0,1669683.38,1300000.0,0,0,3053167.55,19750001.31
INV03922,2013-01-17,Mitra Mulia Mandiri Medan 1,Accounts Receivable - GPB,Medan,,16870748.89,16870748.89,3400000.0,0,0,0,42176.87,1687074.89,0,0,0,5129251.76,22000000.65
INV03923,2013-01-17,Pursida Siantar 1,Accounts Receivable - GPB,Sibatopasa,,17511312.62,17511312.62,0,0,0,87556.56,0,1751131.26,900000.0,0,0,2738687.82,20250000.44
INV03924,2013-01-17,Berkat Grand Angrek 1,Accounts Receivable - GPB,Medan,,17488688.21,17488688.21,0,0,0,87443.44,0,1748868.82,1300000.0,0,0,3136312.26,20625000.47
INV03925,2013-01-17,SS Jaya Tanjung Anom 1,Accounts Receivable - GPB,Medan,,17285068.72,17285068.72,0,0,0,86425.34,0,1728506.87,1150000.0,0,0,2964932.21,20250000.93
INV03926,2013-01-17,Berkat Grand Angrek 1,Accounts Receivable - GPB,Medan,,17488688.21,17488688.21,0,0,0,87443.44,0,1748868.82,1300000.0,0,0,3136312.26,20625000.47
INV03927,2013-01-17,Naga Mas (Bintang Mas) Kisaran 1,Accounts Receivable - GPB,Serkibata,,17398190.67,17398190.67,0,0,0,86990.95,0,1739819.07,900000.0,0,0,2726810.02,20125000.69
INV03928,2013-01-17,SS Jaya Tanjung Anom 1,Accounts Receivable - GPB,Medan,,17149322.74,17149322.74,0,0,0,85746.61,0,1714932.27,1300000.0,0,0,3100678.88,20250001.62
INV03929,2013-01-17,Karunia Jaya Bahagia 1,Accounts Receivable - GPB,Medan,,17149322.74,17149322.74,0,0,0,85746.61,0,1714932.27,1300000.0,0,0,3100678.88,20250001.62
INV03930,2013-01-17,Berkat Grand Angrek 1,Accounts Receivable - GPB,Medan,,17488688.21,17488688.21,0,0,0,87443.44,0,1748868.82,1300000.0,0,0,3136312.26,20625000.47
INV03931,2013-01-17,Utama Bangunan Batubara 1,Accounts Receivable - GPB,Serkibata,,17330317.83,17330317.83,0,0,0,86651.59,0,1733031.78,500000.0,0,0,2319683.37,19650001.2
INV03932,2013-01-18,Yoga Karunia Jaya Batangkuis 1,Accounts Receivable - GPB,Tatemlukam,,17375565.63,17375565.63,0,0,0,86877.83,0,1737556.56,1300000.0,0,0,3124434.39,20500000.02
INV03933,2013-01-18,Menara Station Medan 1,Accounts Receivable - GPB,Medan,,17375566.63,17375566.63,0,0,0,86877.83,0,1737556.66,1300000.0,0,0,3124434.49,20500001.12
INV03934,2013-01-18,Adec Kabanjahe 1,Accounts Receivable - GPB,Binlangkar,,16320635.81,16320635.81,0,0,0,0,40801.59,1632063.58,0.0,0,0,1672865.17,17993500.98
