Customer_id;Customer_name;Address_line1
Berkat Grand Angrek 1;Berkat Grand Angrek 1;Jl. BUNGA RENTE MEDAN SELAYANG
Berkat Insani Talawi 1;Berkat Insani Talawi 1;Jl. PERINTIS KEMERDEKAAN SP.4 INDRAYAMAN KEC. TALAWI
Berkat Jaya Selambo 1;Berkat Jaya Selambo 1;Jl. SELAMBO NO. 63 PANGLIMA DENAI KEC. MEDAN AMPLAS
Berkat Marendal 1;Berkat Marendal 1;Jl. BAJAK II NO.1 C MARENDAL KEC.MEDAN AMPLAS
Berkat Perbaungan 1;Berkat Perbaungan 1;Jl. KENANGA PERBAUNGAN
Berkat Sejahtera Medan 1;Berkat Sejahtera Medan 1;Jl. M. JONI MEDAN / DIKIRIM KEJl. SEMPURNA UJUNG NO.230, MEDAN
Berkat Sejahtera Medan 2;Berkat Sejahtera Medan 2;Jl. HM.JONI NO. 63 MEDAN
Berkat Usaha Tani Kp. Pajak 1;Berkat Usaha Tani Kp. Pajak 1;Jl. LINSUM KAMPUNG PAJAK LABUHAN BATU UTARA
Bersatu Maju Siantar 1;Bersatu Maju Siantar 1;Jl. PENDETA J. WISMAR SARAGIH (DAHULU JALAN BALI) PEMATANG SIANTAR
Bima Maju Binjai 1;Bima Maju Binjai 1;Jl. SOEKARNO HATTA BINJAI
Bintang Karya Mandiri Baganbatu 1;Bintang Karya Mandiri Baganbatu 1;Jl. JENDRAL SUDIRMAN KM.2 KEC.BAHTERA MAKMUR BAGANBATU RIAU 
Bintang Makmur Tebing 1;Bintang Makmur Tebing 1;Jl. KF.TENDEAN BANDAR SAKTI
Bintang Medan 1;Bintang Medan 1;Jl. LETDA SUJONO NO.182 BANDAR SELAMAT, MEDAN 
Buana Jaya Stabat 1;Buana Jaya Stabat 1;Jl. SECANGGANG NO.27 DEPAN RSU INSANI STABAT
Bukit Mas Batu Bara 1;Bukit Mas Batu Bara 1;Jl. CINTA DAMAI KEC.AIR PUTIH
Bumi Kencana Bahorok 1;Bumi Kencana Bahorok 1;Jl. BERDIKARI BELAKANG KANTOR CAMAT BAHOROK (KOTA BAHOROK)
Cahaya Abadi Denai 1;Cahaya Abadi Denai 1;Jl. DENAI NO. 88 MEDAN
Cahaya Baru Aek Nabara 1;Cahaya Baru Aek Nabara 1;Jl. AMPERA NO.16 AEK NABARA
Cahaya Baru Batubara 1;Cahaya Baru Batubara 1;Jl. SEI BALAI BATUBARA
Cahaya Baru Merbau 1;Cahaya Baru Merbau 1;Jl. LINSUM SIMPANG MERBAU KEC.NA IX-X
Cahaya Baru Sei Bulu 1;Cahaya Baru Sei Bulu 1;Jl. SEI BULUH KEC. TELUK MENGKUDU
Cahaya Mitra Abadi Marelan 1;Cahaya Mitra Abadi Marelan 1;Jl. ANDAN SARI GG TERJUN
Cahaya Sinar Logam Lubuk Pakam 1;Cahaya Sinar Logam Lubuk Pakam 1;Jl. SULTAN HASANUDDIN NO. 180 D LUBUK PAKAM
Cipta Karya Nugraha Indrapura 1;Cipta Karya Nugraha Indrapura 1;Jl. JENDRAL SUDIRMAN NO.320 INDRAPURA
Cipta Kreasi Medan 1;Cipta Kreasi Medan 1;Jl. MURAI KOMPLEK PERUMAHAN GRAND MURAILAND NO.2 J MEDAN
